1,0,0,1,1,1,0
2,0,0,1,1,1,0
3,0,0,0,0,0,1
4,1,0,0,0,0,1
5,0,0,1,1,0,0
6,0,0,1,1,0,0
7,0,1,0,0,0,0
8,0,0,0,0,1,1
9,0,1,1,0,0,0
10,1,1,0,0,0,0
11,1,0,0,0,1,1
12,0,0,1,1,1,0
13,0,0,0,1,1,0
14,0,0,0,0,0,1
15,0,0,1,0,1,0
16,0,0,0,1,1,0
17,0,0,0,1,1,0
18,0,0,1,1,1,0
19,1,0,0,0,0,0
20,0,0,0,0,0,1
21,0,0,0,0,0,1
22,1,0,1,0,0,0
23,0,1,1,0,0,0
24,0,0,0,0,0,1
25,1,1,1,0,0,0
26,1,1,0,0,0,0
27,1,1,0,0,0,0
28,0,0,1,1,1,0
29,0,1,0,0,0,0
30,0,0,1,0,0,0
31,0,0,1,0,0,0
32,0,0,1,1,1,0
33,0,1,1,0,0,0
34,0,0,1,1,1,0
35,0,0,0,0,0,1
36,0,1,1,0,0,0
37,1,0,0,0,0,1
38,0,0,1,0,0,0
39,0,0,0,1,1,0
40,1,0,0,0,0,1
41,1,0,0,0,0,1
42,1,0,0,0,0,1
43,0,0,0,0,1,1
44,0,0,0,1,1,0
45,1,1,0,0,0,0
46,1,0,0,0,0,1
47,0,1,1,0,0,0
48,0,0,1,1,1,0
49,0,0,1,0,1,0
50,1,0,0,0,0,0
51,0,0,0,0,0,1
52,1,0,1,0,0,0
53,0,0,1,0,0,0
54,0,0,1,1,1,0
55,0,0,0,1,1,0
56,0,0,0,0,0,1
57,0,1,1,0,0,0
58,1,1,0,0,0,0
59,0,1,0,0,0,0
60,0,0,1,1,1,0
61,0,0,1,1,0,0
62,0,0,0,0,1,1
63,0,0,0,0,0,1
64,0,0,0,0,1,0
65,0,0,1,0,0,0
66,1,1,0,0,0,0
67,0,0,1,0,1,0
68,0,1,1,0,0,0
69,0,1,1,0,0,0
70,1,0,0,0,0,1
71,0,0,0,0,0,1
72,1,0,0,0,1,0
73,0,0,1,0,0,0
74,0,0,1,1,1,0
75,0,1,1,0,0,0
76,0,1,1,1,0,0
77,0,0,1,1,0,0
78,0,0,0,1,1,0
79,0,0,0,0,0,1
80,1,1,0,0,0,0
81,1,0,0,0,0,0
82,0,1,0,0,0,0
83,0,1,0,0,0,0
84,1,0,0,0,0,1
85,0,0,0,1,1,1
86,1,0,0,0,0,0
87,0,1,1,0,0,0
88,0,1,1,0,0,0
89,0,1,1,0,0,0
90,0,0,1,1,0,1
91,0,0,1,0,1,0
92,0,0,1,0,0,0
93,0,0,0,0,0,1
94,0,0,0,1,1,0
95,1,0,0,0,0,1
96,0,0,0,0,0,1
97,0,0,1,0,0,0
98,0,0,1,1,0,0
99,0,0,0,0,0,1
100,1,1,1,0,0,0
